,trial,block,s1,s2,connected,response,accuracy,rt,counter,id,condition
2508,3,1,./static/experiments/de2/materials/stim_files/12.png,./static/experiments/de2/materials/stim_files/13.png,,,,3328,,165,3
2509,4,1,./static/experiments/de2/materials/stim_files/3.png,./static/experiments/de2/materials/stim_files/2.png,,,,2560,,165,3
2510,5,1,./static/experiments/de2/materials/stim_files/15.png,./static/experiments/de2/materials/stim_files/16.png,,,,2502,,165,3
2511,6,1,./static/experiments/de2/materials/stim_files/6.png,./static/experiments/de2/materials/stim_files/7.png,,,,2556,,165,3
2512,7,1,./static/experiments/de2/materials/stim_files/2.png,./static/experiments/de2/materials/stim_files/1.png,,,,2348,,165,3
2513,8,1,./static/experiments/de2/materials/stim_files/9.png,./static/experiments/de2/materials/stim_files/10.png,,,,2516,,165,3
2514,9,1,./static/experiments/de2/materials/stim_files/3.png,./static/experiments/de2/materials/stim_files/4.png,,,,2500,,165,3
2515,10,1,./static/experiments/de2/materials/stim_files/10.png,./static/experiments/de2/materials/stim_files/11.png,,,,3129,,165,3
2516,11,1,./static/experiments/de2/materials/stim_files/12.png,./static/experiments/de2/materials/stim_files/11.png,,,,3083,,165,3
2517,12,1,./static/experiments/de2/materials/stim_files/7.png,./static/experiments/de2/materials/stim_files/8.png,,,,2847,,165,3
2518,13,1,./static/experiments/de2/materials/stim_files/15.png,./static/experiments/de2/materials/stim_files/14.png,,,,3575,,165,3
2519,14,1,./static/experiments/de2/materials/stim_files/5.png,./static/experiments/de2/materials/stim_files/6.png,,,,2353,,165,3
2520,0,0,./static/experiments/de2/materials/stim_files/11.png,./static/experiments/de2/materials/stim_files/3.png,,,,18,,60,2
